flight_no.,date_and_time_(utc),"version,_booster[j]",launch_site,payload_mass_kg,payload_mass,orbit,customer,launch_outcome,booster_landing,launch_date
451,"March 24, 2025 17:48[310]",F9 B5 B1092‑2,"Cape Canaveral, SLC‑40",69.0,Unknown,LEO,USSF,Success,Success (LZ‑1),2025-03-24
451,Presumed to be an Intruder-class signals intelligence satellite.[311],Presumed to be an Intruder-class signals intelligence satellite.[311],Presumed to be an Intruder-class signals intelligence satellite.[311],311.0,Presumed to be an Intruder-class signals intelligence satellite.[311],Presumed to be an Intruder-class signals intelligence satellite.[311],Presumed to be an Intruder-class signals intelligence satellite.[311],Presumed to be an Intruder-class signals intelligence satellite.[311],Presumed to be an Intruder-class signals intelligence satellite.[311],
452,"March 26, 2025 22:11[312]",F9 B5 B1063‑24,"Vandenberg, SLC‑4E",11.0,"~15,500 kg (34,200 lb)",LEO,SpaceX,Success,Success (OCISLY),2025-03-26
452,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,27.0,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,
453,"March 31, 2025 19:52[313]",F9 B5 B1080‑17,"Cape Canaveral, SLC‑40",6.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),2025-03-31
453,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,28.0,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,
454,"April 1, 2025 01:46[314]",F9 B5 B1085‑6,"Kennedy, LC‑39A",2.0,"~13,000 kg (29,000 lb)",Polar (Retrograde),Chun Wang,Success,Success (ASOG),2025-04-01
454,First ever crewed mission launched into polar orbit.[315][316],First ever crewed mission launched into polar orbit.[315][316],First ever crewed mission launched into polar orbit.[315][316],315.0,First ever crewed mission launched into polar orbit.[315][316],First ever crewed mission launched into polar orbit.[315][316],First ever crewed mission launched into polar orbit.[315][316],First ever crewed mission launched into polar orbit.[315][316],First ever crewed mission launched into polar orbit.[315][316],
455,"April 4, 2025 01:02[317]",F9 B5 B1088‑5,"Vandenberg, SLC‑4E",11.0,"~15,500 kg (34,200 lb)",LEO,SpaceX,Success,Success (OCISLY),2025-04-04
455,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,27.0,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,
456,"April 6, 2025 03:07[318]",F9 B5 B1078‑19,"Cape Canaveral, SLC‑40",6.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),2025-04-06
456,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,28.0,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,
457,"April 7, 2025 23:06[319]",F9 B5 B1093‑1,"Vandenberg, SLC‑4E",11.0,"~15,500 kg (34,200 lb)",LEO,SpaceX,Success,Success (OCISLY),2025-04-07
457,"Launch of 27 Starlink v2 mini satellites, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 27 Starlink v2 mini satellites, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 27 Starlink v2 mini satellites, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",27.0,"Launch of 27 Starlink v2 mini satellites, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 27 Starlink v2 mini satellites, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 27 Starlink v2 mini satellites, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 27 Starlink v2 mini satellites, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 27 Starlink v2 mini satellites, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",
458,"April 12, 2025 12:25[320]",F9 B5 B1071‑24,"Vandenberg, SLC‑4E",192.0,Unknown,LEO,NRO,Success,Success (OCISLY),2025-04-12
458,Ninth launch of SpaceX/Northrop Grumman-built satellites for the National Reconnaissance Office.[311],Ninth launch of SpaceX/Northrop Grumman-built satellites for the National Reconnaissance Office.[311],Ninth launch of SpaceX/Northrop Grumman-built satellites for the National Reconnaissance Office.[311],311.0,Ninth launch of SpaceX/Northrop Grumman-built satellites for the National Reconnaissance Office.[311],Ninth launch of SpaceX/Northrop Grumman-built satellites for the National Reconnaissance Office.[311],Ninth launch of SpaceX/Northrop Grumman-built satellites for the National Reconnaissance Office.[311],Ninth launch of SpaceX/Northrop Grumman-built satellites for the National Reconnaissance Office.[311],Ninth launch of SpaceX/Northrop Grumman-built satellites for the National Reconnaissance Office.[311],
459,"April 13, 2025 00:53[321]",F9 B5 B1083‑10,"Kennedy, LC‑39A",12.0,"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),2025-04-13
459,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.",21.0,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.",
460,"April 14, 2025 04:00[322]",F9 B5 B1067‑27,"Cape Canaveral, SLC‑40",6.0,"~15,500 kg (34,200 lb)",LEO,SpaceX,Success,Success (JRTI),2025-04-14
460,"Launch of 27 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 27th time, new record.","Launch of 27 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 27th time, new record.","Launch of 27 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 27th time, new record.",27.0,"Launch of 27 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 27th time, new record.","Launch of 27 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 27th time, new record.","Launch of 27 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 27th time, new record.","Launch of 27 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 27th time, new record.","Launch of 27 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly and be recovered 27th time, new record.",
461,"April 20, 2025 12:29[323]",F9 B5 B1082‑12,"Vandenberg, SLC‑4E",145.0,Unknown,LEO,NRO,Success,Success (OCISLY),2025-04-20
461,Tenth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. First NRO Proliferated Architecture Mission launch in partnership with USSF under the NSSL Phase 3 Lane 1 contract.,Tenth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. First NRO Proliferated Architecture Mission launch in partnership with USSF under the NSSL Phase 3 Lane 1 contract.,Tenth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. First NRO Proliferated Architecture Mission launch in partnership with USSF under the NSSL Phase 3 Lane 1 contract.,3.0,Tenth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. First NRO Proliferated Architecture Mission launch in partnership with USSF under the NSSL Phase 3 Lane 1 contract.,Tenth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. First NRO Proliferated Architecture Mission launch in partnership with USSF under the NSSL Phase 3 Lane 1 contract.,Tenth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. First NRO Proliferated Architecture Mission launch in partnership with USSF under the NSSL Phase 3 Lane 1 contract.,Tenth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. First NRO Proliferated Architecture Mission launch in partnership with USSF under the NSSL Phase 3 Lane 1 contract.,Tenth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office. First NRO Proliferated Architecture Mission launch in partnership with USSF under the NSSL Phase 3 Lane 1 contract.,
462,"April 21, 2025 08:15[324]",F9 B5 B1092‑3,"Kennedy, LC‑39A",32.0,"3,021 kg (6,660 lb)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1),2025-04-21
462,Carried cargo and supplies to the International Space Station (ISS).[325],Carried cargo and supplies to the International Space Station (ISS).[325],Carried cargo and supplies to the International Space Station (ISS).[325],325.0,Carried cargo and supplies to the International Space Station (ISS).[325],Carried cargo and supplies to the International Space Station (ISS).[325],Carried cargo and supplies to the International Space Station (ISS).[325],Carried cargo and supplies to the International Space Station (ISS).[325],Carried cargo and supplies to the International Space Station (ISS).[325],
463,"April 22, 2025 00:48[326]",F9 B5 B1090‑3,"Cape Canaveral, SLC‑40",3.0,Unknown[l],LEO,Republic of Korea Armed Forces Tomorrow.io Atmos Space Cargo,Success,Success (LZ‑2),2025-04-22
463,"SmallSat rideshare mission to a 550–600 km (340–370 mi) orbit at an inclination of 45°. Launch featured a rare Falcon 9 landing at LZ-2, as the booster from the CRS-32 launch just hours before was still on LZ-1. 425Sat-3 is the third synthetic-aperture radar satellite for the constellation and the fourth flight of Korea 425 Project for the South Korean military. Also on the flight are Tomorrow.io's Tomorrow-S7 satellite and Atmos Space Cargo's PHOENIX re-entry capsule. This mission marks the 300th launch from SLC-40.","SmallSat rideshare mission to a 550–600 km (340–370 mi) orbit at an inclination of 45°. Launch featured a rare Falcon 9 landing at LZ-2, as the booster from the CRS-32 launch just hours before was still on LZ-1. 425Sat-3 is the third synthetic-aperture radar satellite for the constellation and the fourth flight of Korea 425 Project for the South Korean military. Also on the flight are Tomorrow.io's Tomorrow-S7 satellite and Atmos Space Cargo's PHOENIX re-entry capsule. This mission marks the 300th launch from SLC-40.","SmallSat rideshare mission to a 550–600 km (340–370 mi) orbit at an inclination of 45°. Launch featured a rare Falcon 9 landing at LZ-2, as the booster from the CRS-32 launch just hours before was still on LZ-1. 425Sat-3 is the third synthetic-aperture radar satellite for the constellation and the fourth flight of Korea 425 Project for the South Korean military. Also on the flight are Tomorrow.io's Tomorrow-S7 satellite and Atmos Space Cargo's PHOENIX re-entry capsule. This mission marks the 300th launch from SLC-40.",550.0,"SmallSat rideshare mission to a 550–600 km (340–370 mi) orbit at an inclination of 45°. Launch featured a rare Falcon 9 landing at LZ-2, as the booster from the CRS-32 launch just hours before was still on LZ-1. 425Sat-3 is the third synthetic-aperture radar satellite for the constellation and the fourth flight of Korea 425 Project for the South Korean military. Also on the flight are Tomorrow.io's Tomorrow-S7 satellite and Atmos Space Cargo's PHOENIX re-entry capsule. This mission marks the 300th launch from SLC-40.","SmallSat rideshare mission to a 550–600 km (340–370 mi) orbit at an inclination of 45°. Launch featured a rare Falcon 9 landing at LZ-2, as the booster from the CRS-32 launch just hours before was still on LZ-1. 425Sat-3 is the third synthetic-aperture radar satellite for the constellation and the fourth flight of Korea 425 Project for the South Korean military. Also on the flight are Tomorrow.io's Tomorrow-S7 satellite and Atmos Space Cargo's PHOENIX re-entry capsule. This mission marks the 300th launch from SLC-40.","SmallSat rideshare mission to a 550–600 km (340–370 mi) orbit at an inclination of 45°. Launch featured a rare Falcon 9 landing at LZ-2, as the booster from the CRS-32 launch just hours before was still on LZ-1. 425Sat-3 is the third synthetic-aperture radar satellite for the constellation and the fourth flight of Korea 425 Project for the South Korean military. Also on the flight are Tomorrow.io's Tomorrow-S7 satellite and Atmos Space Cargo's PHOENIX re-entry capsule. This mission marks the 300th launch from SLC-40.","SmallSat rideshare mission to a 550–600 km (340–370 mi) orbit at an inclination of 45°. Launch featured a rare Falcon 9 landing at LZ-2, as the booster from the CRS-32 launch just hours before was still on LZ-1. 425Sat-3 is the third synthetic-aperture radar satellite for the constellation and the fourth flight of Korea 425 Project for the South Korean military. Also on the flight are Tomorrow.io's Tomorrow-S7 satellite and Atmos Space Cargo's PHOENIX re-entry capsule. This mission marks the 300th launch from SLC-40.","SmallSat rideshare mission to a 550–600 km (340–370 mi) orbit at an inclination of 45°. Launch featured a rare Falcon 9 landing at LZ-2, as the booster from the CRS-32 launch just hours before was still on LZ-1. 425Sat-3 is the third synthetic-aperture radar satellite for the constellation and the fourth flight of Korea 425 Project for the South Korean military. Also on the flight are Tomorrow.io's Tomorrow-S7 satellite and Atmos Space Cargo's PHOENIX re-entry capsule. This mission marks the 300th launch from SLC-40.",
464,"April 25, 2025 01:52[328]",F9 B5 B1069‑23,"Cape Canaveral, SLC‑40",6.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG),2025-04-25
464,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 29th time.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 29th time.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 29th time.,28.0,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 29th time.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 29th time.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 29th time.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 29th time.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 29th time.,
465,"April 28, 2025 02:09[329]",F9 B5 B1077‑20,"Cape Canaveral, SLC‑40",12.0,"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI),2025-04-28
465,"Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 250th dedicated Starlink constellation launch.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 250th dedicated Starlink constellation launch.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 250th dedicated Starlink constellation launch.",23.0,"Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 250th dedicated Starlink constellation launch.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 250th dedicated Starlink constellation launch.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 250th dedicated Starlink constellation launch.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 250th dedicated Starlink constellation launch.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 250th dedicated Starlink constellation launch.",
466,"April 28, 2025 20:42[330]",F9 B5 B1063‑25,"Vandenberg, SLC‑4E",11.0,"~15,500 kg (34,200 lb)",LEO,SpaceX,Success,Success (OCISLY),2025-04-28
466,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,27.0,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,
467,"April 29, 2025 02:34[331]",F9 B5 B1094‑1,"Kennedy, LC‑39A",12.0,"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG),2025-04-29
467,"Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.",23.0,"Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 23 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.",
468,"May 2, 2025 01:51[332]",F9 B5 B1080‑18,"Cape Canaveral, SLC‑40",6.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),2025-05-02
468,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,28.0,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.,
469,"May 4, 2025 08:54[333]",F9 B5 B1078‑20,"Kennedy, LC‑39A",6.0,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (ASOG),2025-05-04
469,Launch of 29 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Fastest launch turnaround at Pad 39A.,Launch of 29 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Fastest launch turnaround at Pad 39A.,Launch of 29 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Fastest launch turnaround at Pad 39A.,29.0,Launch of 29 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Fastest launch turnaround at Pad 39A.,Launch of 29 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Fastest launch turnaround at Pad 39A.,Launch of 29 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Fastest launch turnaround at Pad 39A.,Launch of 29 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Fastest launch turnaround at Pad 39A.,Launch of 29 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Fastest launch turnaround at Pad 39A.,
470,"May 7, 2025 01:17[334]",F9 B5 B1085‑7,"Cape Canaveral, SLC‑40",6.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),2025-05-07
470,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 470th Falcon 9 rocket launch.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 470th Falcon 9 rocket launch.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 470th Falcon 9 rocket launch.,28.0,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 470th Falcon 9 rocket launch.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 470th Falcon 9 rocket launch.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 470th Falcon 9 rocket launch.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 470th Falcon 9 rocket launch.,Launch of 28 Starlink v2 mini optimized satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 470th Falcon 9 rocket launch.,
471,"May 10, 2025 00:19[335]",F9 B5 B1081‑14,"Vandenberg, SLC‑4E",15.0,"~14,950 kg (32,960 lb)",LEO,SpaceX,Success,Success (OCISLY),2025-05-10
471,Launch of 26 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 26 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 26 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 70° to expand internet constellation.,26.0,Launch of 26 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 26 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 26 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 26 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 26 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 70° to expand internet constellation.,
472,"May 10, 2025 06:28[336]",F9 B5 B1083‑11,"Cape Canaveral, SLC‑40",6.0,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG),2025-05-10
